_c0,Create At,Title,Company,Location,Salary Snippet,Salary Range,Salary Period,Salary From,Salary To,Salary Fixed
1,2022-03-20 19:09:48.403575,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,378 - $69,462 a year",range,yearly,48378,69462,""
2,2022-03-20 19:09:48.403810,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
3,2022-03-20 19:09:48.404086,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:48.404529,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
5,2022-03-20 19:09:48.405077,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
6,2022-03-20 19:09:48.405582,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
7,2022-03-20 19:09:48.406086,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
8,2022-03-20 19:09:48.406591,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
9,2022-03-20 19:09:48.407099,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
10,2022-03-20 19:09:48.407689,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
11,2022-03-20 19:09:48.408199,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
12,2022-03-20 19:09:48.408741,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:48.409262,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:48.409855,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:48.410338,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:48.410941,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
17,2022-03-20 19:09:48.411538,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
18,2022-03-20 19:09:48.412125,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
19,2022-03-20 19:09:48.412741,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
20,2022-03-20 19:09:48.413321,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:48.413896,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
22,2022-03-20 19:09:48.414474,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:48.415047,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:48.415401,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
25,2022-03-20 19:09:48.415784,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:48.416236,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
27,2022-03-20 19:09:48.416609,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
28,2022-03-20 19:09:48.417072,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:48.417321,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
30,2022-03-20 19:09:48.417670,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:48.418130,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:48.418402,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:50.892321,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:50.892849,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
2,2022-03-20 19:09:50.893270,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
3,2022-03-20 19:09:50.893743,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:50.894294,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:50.894842,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:50.895390,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:50.895937,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:50.896477,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:50.897056,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:50.897602,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
11,2022-03-20 19:09:50.898139,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:50.898769,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
13,2022-03-20 19:09:50.899311,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:50.899927,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:50.900427,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:50.901088,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
17,2022-03-20 19:09:50.901704,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
18,2022-03-20 19:09:50.902341,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
19,2022-03-20 19:09:50.902984,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:50.903633,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:50.904252,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:50.904942,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:50.905566,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:50.906186,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
25,2022-03-20 19:09:50.906804,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:50.907396,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
27,2022-03-20 19:09:50.907889,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
28,2022-03-20 19:09:50.908402,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:50.908974,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:50.909489,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
31,2022-03-20 19:09:50.910000,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:50.910479,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:55.837154,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:55.837503,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:55.837969,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:55.838419,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:55.838940,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:55.839452,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:55.839973,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:55.840486,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:55.841075,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:55.841589,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:55.842222,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
11,2022-03-20 19:09:55.842786,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:55.843347,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:55.843907,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:55.844555,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:55.845113,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:55.845761,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
17,2022-03-20 19:09:55.846491,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
18,2022-03-20 19:09:55.847233,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
19,2022-03-20 19:09:55.847984,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:55.848764,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
21,2022-03-20 19:09:55.849510,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:55.850070,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
23,2022-03-20 19:09:55.850628,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
24,2022-03-20 19:09:55.851194,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:55.851760,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
26,2022-03-20 19:09:55.852211,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
27,2022-03-20 19:09:55.852663,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
28,2022-03-20 19:09:55.853182,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
29,2022-03-20 19:09:55.853638,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
30,2022-03-20 19:09:55.854183,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
31,2022-03-20 19:09:55.854620,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
32,2022-03-20 19:09:55.855045,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
0,2022-03-20 19:09:45.647985,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:45.648188,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
2,2022-03-20 19:09:45.648412,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
3,2022-03-20 19:09:45.648630,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
4,2022-03-20 19:09:45.648945,General Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
5,2022-03-20 19:09:45.649201,Host,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
6,2022-03-20 19:09:45.649444,Crew Member,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
7,2022-03-20 19:09:45.649688,Bartender,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
8,2022-03-20 19:09:45.649933,Shift Manager,"Taco Bueno | Taco Supremo Management, LLC","","","","","","",""
9,2022-03-20 19:09:45.650174,Team Member,"Burger King | Shonaz Foods, Inc.","","","","","","",""
10,2022-03-20 19:09:45.650451,Crew Member,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
11,2022-03-20 19:09:45.650694,Line Cook,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
12,2022-03-20 19:09:45.650939,Server,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
13,2022-03-20 19:09:45.651182,To Go Specialist,Johnny Carino's | Bluestone Hospitality Group,"","","","","","",""
14,2022-03-20 19:09:45.651458,Shift Supervisor,Papa Murphy's | Tom Lovelace Group,"","","","","","",""
15,2022-03-20 19:09:45.651686,Executive Assistant to CEO/COO,New Age Meats,"Berkeley, CA","","","","","",""
16,2022-03-20 19:09:45.651916,Lead Supply Planner,Memphis Meats,"Berkeley, CA","","","","","",""
17,2022-03-20 19:09:45.652148,Research Associate - Biomaterials Engineering,New Age Meats,"Berkeley, CA","","","","","",""
18,2022-03-20 19:09:45.652428,General Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
19,2022-03-20 19:09:45.652755,Restaurant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
20,2022-03-20 19:09:45.653053,Crew Member,"Wendy's | Haza Foods, LLC","","","","","","",""
21,2022-03-20 19:09:45.653337,Team Member: Food Champion,Taco Bell | Tacala Companies,"","","","","","",""
22,2022-03-20 19:09:45.653622,Team Member: Service Champion,Taco Bell | Tacala Companies,"","","","","","",""
23,2022-03-20 19:09:45.654110,Assistant General Manager,Taco Bell | Tacala Companies,"","","","","","",""
24,2022-03-20 19:09:45.654428,Shift Supervisor,"Wendy's | Haza Foods, LLC","","","","","","",""
25,2022-03-20 19:09:45.654713,Maintenance Technician,"Wendy's | Haza Foods, LLC","","","","","","",""
26,2022-03-20 19:09:45.654997,Assistant Manager,"Wendy's | Haza Foods, LLC","","","","","","",""
27,2022-03-20 19:09:45.655279,Shift Lead,Taco Bell | Tacala Companies,"","","","","","",""
28,2022-03-20 19:09:45.655555,QUALITY ASSURANCE SUPERINTENDENT,Pilgrim's,"","","","","","",""
29,2022-03-20 19:09:45.655788,Maintenance Parts Clerk - 2nd and 3rd Shift,"FPL FOOD, LLC","",$14 - $17 an hour,range,hourly,14,17,""
30,2022-03-20 19:09:45.656043,"Research Associate, Upstream Development",UPSIDE Foods,"Berkeley, CA","","","","","",""
31,2022-03-20 19:09:45.656271,"Beef Production Jobs in MINNESOTA, INTERVIEWS in San Juan, P...",American Foods Group,"",$16.25 - $23.25 an hour,range,hourly,16.25,23.25,""
32,2022-03-20 19:09:45.656533,Quality Assurance Specialist II/III,"Wild Rose Foods, LLC","","","","","","",""
0,2022-03-20 19:09:47.172597,Consumer Safety Inspector,USDA Food Safety and Inspection Service,"","$48,445 - $77,034 a year",range,yearly,48445,77034,""
1,2022-03-20 19:09:47.173099,Food Inspector (FI),USDA Food Safety and Inspection Service,"","$35,265 - $56,790 a year",range,yearly,35265,56790,""
2,2022-03-20 19:09:47.173488,Livestock Manager,"Hancock Shaker Village, Inc","","$35,000 - $40,000 a year",range,yearly,35000,40000,""
3,2022-03-20 19:09:47.173925,Supervisory Consumer Safety Inspector,USDA Food Safety and Inspection Service,"Storm Lake, IA","$58,842 - $76,499 a year",range,yearly,58842,76499,""
