,Create At,Title,Company,Location,Salary Snippet,Salary Range,Salary Period,Salary From,Salary To,Salary Fixed
28,2022-03-20 19:09:41.597159,Project Manager - General Construction,"Hansen-Rice, Inc.",,,,,,,
29,2022-03-20 19:09:41.597340,Dock Construction/Laborer,William J Abraham & Sons Inc,"Fort Wayne, IN",$14 - $28 an hour,range,hourly,14,28,
30,2022-03-20 19:09:41.597600,Loader Operator,Croell Inc.,,,,,,,
31,2022-03-20 19:09:41.597874,Pipe Fitter,Gallo Mechanical,,,,,,,
32,2022-03-20 19:09:41.598090,Transportation Management Center (TMC) System Operator I,WSP USA,,$19.50 - $21.50 an hour,range,hourly,19.50,21.50,
33,2022-03-20 19:09:41.598282,Residential Construction Superintendent,NC Services,,"$60,000 - $80,000 a year",range,yearly,60000,80000,
34,2022-03-20 19:09:41.598559,Telephone Lineman,Danella Line Services,,,,,,,
35,2022-03-20 19:09:41.598821,SENIOR ENGINEERING TECHNICIAN,City of Newport News,"Newport News, VA",,,,,,
36,2022-03-20 19:09:41.599089,Handyman Worker,"Quality Enclosures, Inc.",,,,,,,
37,2022-03-20 19:09:41.599356,Skilled Construction Craftsperson,Peters Construction Corporation,"Waterloo, IA",,,,,,
38,2022-03-20 19:09:41.599566,Project Superintendent,Lawrence Construction Company,,"$70,000 - $90,000 a year",range,yearly,70000,90000,
39,2022-03-20 19:09:41.599747,Foreman,Synergy Contractors Group LLC,,$35 - $50 an hour,range,hourly,35,50,
40,2022-03-20 19:09:41.599963,"Project Manager, Right-of-Way",Capital Metro,,"$79,966 - $99,958 a year",range,yearly,79966,99958,
41,2022-03-20 19:09:41.600156,Director of Facilities Management,Fargo City Hall,,"$101,504 - $107,598 a year",range,yearly,101504,107598,
42,2022-03-20 19:09:41.600425,Systems Operator 1,WSP USA,"Hawthorne, NY",,,,,,
43,2022-03-20 19:09:41.600707,Maintenance Technician,Flournoy Construction,,,,,,,
44,2022-03-20 19:09:41.600883,Operations Manager,NORTHEAST OHIO NATURAL GAS,"Mentor, OH","$75,000 - $85,000 a year",range,yearly,75000,85000,
45,2022-03-20 19:09:41.601070,Construction Safety Consultant (Occupational Safety Advisor),"MIOSHA Consultation, Education and Training...",,"$43,430 - $76,253 a year",range,yearly,43430,76253,
46,2022-03-20 19:09:41.601274,Bridge Worker,Somerset County,"Hillsborough, NJ","$42,342 a year",fixed,yearly,,,42342
47,2022-03-20 19:09:41.601538,FACILITIES REPAIR WORKER,University of Wisconsin–Madison,,,,,,,
48,2022-03-20 19:09:41.601810,Commercial Maintenance Contract Sales Representative/HVAC,Newcomb and Company,"Raleigh, NC",,,,,,
49,2022-03-20 19:09:41.602089,Project Manager - Mechanical Construction,Gallo Mechanical,,,,,,,
